"","Speaker","Listener","Lines","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Lemma"
"404","HARRY","RON","I think I'd take the dragon right now. Groups of girls are giving them icy looks and turning their backs.","i think i'd take the dragon right now. groups of girls are giving them icy looks and turning their backs.","i think i'd take the dragon right now. groups of girls are giving them icy looks and turning their backs."," think  take  dragon right now. groups  girls  giving  icy looks  turning  backs."," think  take  dragon right now groups  girls  giving  icy looks  turning  backs"," think  take  dragon right now groups  girls  giving  icy looks  turning  backs"," think take dragon right now groups girls giving icy looks turning backs","think take dragon right now group girl give icy look turn back"
"405","HAGRID","MADAME MAXIME","I take after my mum. Though I didn't know her very well, she left when I was about three. No, not the maternal sort her, broke my dad's heart though. You know he was a tiny little fellow my dad, I could pick him up with one hand by the age of six and put him up in the dresser.  ","i take after my mum. though i didn't know her very well, she left when i was about three. no, not the maternal sort her, broke my dad's heart though. you know he was a tiny little fellow my dad, i could pick him up with one hand by the age of six and put him up in the dresser.  ","i take after my mum. though i didn't know her very well, she left when i was about three. no, not the maternal sort her, broke my dad's heart though. you know he was a tiny little fellow my dad, i could pick him up with one hand by the age of six and put him up in the dresser.  "," take   mum. though   know   well,  left     three. ,   maternal sort , broke  dad's heart though.  know    tiny little fellow  dad,   pick    one hand   age  six  put     dresser.  "," take   mum though   know   well  left     three    maternal sort  broke  dads heart though  know    tiny little fellow  dad   pick    one hand   age  six  put     dresser  "," take   mum though   know   well  left     three    maternal sort  broke  dads heart though  know    tiny little fellow  dad   pick    one hand   age  six  put     dresser  "," take mum though know well left three maternal sort broke dads heart though know tiny little fellow dad pick one hand age six put dresser ","take mum though know good leave three maternal sort break dad heart though know tiny little fellow dad pick one hand age six put dresser"
"406","HAGRID","MADAME MAXIME","And then he died when I was still in school. So I had to make me own way as it were. But enough of me, what about you!  ","and then he died when i was still in school. so i had to make me own way as it were. but enough of me, what about you!  ","and then he died when i was still in school. so i had to make me own way as it were. but enough of me, what about you!  ","   died    still  school.     make   way   .  enough  ,   !  ","   died    still  school     make   way     enough       ","   died    still  school     make   way     enough       "," died still school make way enough ","die still school make way enough"
"407","RON","HARRY","This is mad. At this rate we'll be the only ones in our year without dates. ","this is mad. at this rate we'll be the only ones in our year without dates. ","this is mad. at this rate we'll be the only ones in our year without dates. ","  mad.   rate     ones   year without dates. ","  mad   rate     ones   year without dates ","  mad   rate     ones   year without dates "," mad rate ones year without dates ","mad rate one year without date"
"408","RON","HERMIONE","Well, us and Neville!  ","well, us and neville!  ","well, us and neville!  ","well, us  neville!  ","well us  neville  ","well us  neville  ","well us neville ","good us neville"
"409","HARRY","RON","But then again he can take himself.  ","but then again he can take himself.  ","but then again he can take himself.  ","    can take .  ","    can take   ","    can take   "," can take ","can take"
"410","HERMIONE","RON","It might interest you to know that Neville's already got someone. ","it might interest you to know that neville's already got someone. ","it might interest you to know that neville's already got someone. "," might interest   know  neville's already got someone. "," might interest   know  nevilles already got someone "," might interest   know  nevilles already got someone "," might interest know nevilles already got someone ","may interest know nevilles already get someone"
"411","RON","HERMIONE","Now I'm really depressed.  ","now i'm really depressed.  ","now i'm really depressed.  ","now  really depressed.  ","now  really depressed  ","now  really depressed  ","now really depressed ","now really depress"
"412","RON","HERMIONE","Well Hermione, you're a girl.  ","well hermione, you're a girl.  ","well hermione, you're a girl.  ","well hermione,   girl.  ","well hermione   girl  ","well hermione   girl  ","well hermione girl ","good hermione girl"
"413","HERMIONE","RON","Oh well spotted.  ","oh well spotted.  ","oh well spotted.  ","oh well spotted.  ","oh well spotted  ","oh well spotted  ","oh well spotted ","oh good spot"
"414","RON","HERMIONE","Come on. It's one thing for a bloke to show up alone. For a girl it's just sad.","come on. it's one thing for a bloke to show up alone. for a girl it's just sad.","come on. it's one thing for a bloke to show up alone. for a girl it's just sad.","come .  one thing   bloke  show  alone.   girl  just sad.","come   one thing   bloke  show  alone   girl  just sad","come   one thing   bloke  show  alone   girl  just sad","come one thing bloke show alone girl just sad","come one thing bloke show alone girl just sad"
"415","HERMIONE","RON","I won't be going alone because believe it or not someone's asked me. And I said yes.","i won't be going alone because believe it or not someone's asked me. and i said yes.","i won't be going alone because believe it or not someone's asked me. and i said yes.","   going alone  believe    someone's asked .   said yes.","   going alone  believe    someones asked    said yes","   going alone  believe    someones asked    said yes"," going alone believe someones asked said yes","go alone believe someones ask say yes"
"416","RON","HERMIONE","Bloody hell.  ","bloody hell.  ","bloody hell.  ","bloody hell.  ","bloody hell  ","bloody hell  ","bloody hell ","bloody hell"
"417","RON","HARRY","Look. We've just got to grit our teeth and do it. Tonight when we get back to the common room, we'll both have partners. Agreed?  ","look. we've just got to grit our teeth and do it. tonight when we get back to the common room, we'll both have partners. agreed?  ","look. we've just got to grit our teeth and do it. tonight when we get back to the common room, we'll both have partners. agreed?  ","look.  just got  grit  teeth   . tonight   get back   common room,    partners. agreed?  ","look  just got  grit  teeth    tonight   get back   common room    partners agreed  ","look  just got  grit  teeth    tonight   get back   common room    partners agreed  ","look just got grit teeth tonight get back common room partners agreed ","look just get grit tooth tonight get back common room partner agree"
"418","HARRY","RON","Agreed.  ","agreed.  ","agreed.  ","agreed.  ","agreed  ","agreed  ","agreed ","agree"
"419","CHO","HARRY","Harry!  ","harry!  ","harry!  ","harry!  ","harry  ","harry  ","harry ","harry"
"420","HARRY","CHO","Cho!  ","cho!  ","cho!  ","cho!  ","cho  ","cho  ","cho ","cho"
"421","CHO","HARRY","Watch yourself on the stairs, it's a bit icey at the top. ","watch yourself on the stairs, it's a bit icey at the top. ","watch yourself on the stairs, it's a bit icey at the top. ","watch    stairs,   bit icey   top. ","watch    stairs   bit icey   top ","watch    stairs   bit icey   top ","watch stairs bit icey top ","watch stair bite icey top"
"422","HARRY","CHO","Ok thanks. Cho?  ","ok thanks. cho?  ","ok thanks. cho?  ","ok thanks. cho?  ","ok thanks cho  ","ok thanks cho  ","ok thanks cho ","okay thank cho"
"423","CHO","HARRY","Yes?  ","yes?  ","yes?  ","yes?  ","yes  ","yes  ","yes ","yes"
"424","HARRY","CHO","Um. (Mumbling) I just wondered if maybe you wanted to go to the ball with me? ","um. (mumbling) i just wondered if maybe you wanted to go to the ball with me? ","um. (mumbling) i just wondered if maybe you wanted to go to the ball with me? ","um. (mumbling)  just wondered  maybe  wanted  go   ball  ? ","um mumbling  just wondered  maybe  wanted  go   ball   ","um mumbling  just wondered  maybe  wanted  go   ball   ","um mumbling just wondered maybe wanted go ball ","um mumble just wonder maybe want go ball"
"425","CHO","HARRY","Sorry? I didn't catch that.  ","sorry? i didn't catch that.  ","sorry? i didn't catch that.  ","sorry?   catch .  ","sorry   catch   ","sorry   catch   ","sorry catch ","sorry catch"
"426","HARRY","CHO","Um. I was just wondering if maybe you wanted to go to the ball with me. ","um. i was just wondering if maybe you wanted to go to the ball with me. ","um. i was just wondering if maybe you wanted to go to the ball with me. ","um.   just wondering  maybe  wanted  go   ball  . ","um   just wondering  maybe  wanted  go   ball   ","um   just wondering  maybe  wanted  go   ball   ","um just wondering maybe wanted go ball ","um just wonder maybe want go ball"
"427","CHO","HARRY","Oh. Um. Harry I'm sorry but someone's already asked me. And well I've said I'll go with him.","oh. um. harry i'm sorry but someone's already asked me. and well i've said i'll go with him.","oh. um. harry i'm sorry but someone's already asked me. and well i've said i'll go with him.","oh. um. harry  sorry  someone's already asked .  well  said  go  .","oh um harry  sorry  someones already asked   well  said  go  ","oh um harry  sorry  someones already asked   well  said  go  ","oh um harry sorry someones already asked well said go ","oh um harry sorry someones already ask good say go"
"428","HARRY","CHO","Ok. Great. Fine. No problem. Good.  ","ok. great. fine. no problem. good.  ","ok. great. fine. no problem. good.  ","ok. great. fine.  problem. good.  ","ok great fine  problem good  ","ok great fine  problem good  ","ok great fine problem good ","okay great fine problem good"
"429","CHO","HARRY","Harry I really am sorry.  ","harry i really am sorry.  ","harry i really am sorry.  ","harry  really  sorry.  ","harry  really  sorry  ","harry  really  sorry  ","harry really sorry ","harry really sorry"
"430","HARRY","RON","What happened to you?  ","what happened to you?  ","what happened to you?  "," happened  ?  "," happened    "," happened    "," happened ","happen"
"431","GIRL","HARRY","He just asked Fleur Delacour out.  ","he just asked fleur delacour out.  ","he just asked fleur delacour out.  "," just asked fleur delacour .  "," just asked fleur delacour   "," just asked fleur delacour   "," just asked fleur delacour ","just ask fleur delacour"
"432","HERMIONE","GIRL","What?  ","what?  ","what?  ","?  ","  ","  "," ",""
"433","HARRY","RON","What did she say?  ","what did she say?  ","what did she say?  ","   say?  ","   say  ","   say  "," say ","say"
"434","HERMIONE","HARRY","No of course.  ","no of course.  ","no of course.  ","  course.  ","  course  ","  course  "," course ","course"
"435","HERMIONE","RON","She said yes??  ","she said yes??  ","she said yes??  "," said yes??  "," said yes  "," said yes  "," said yes ","say yes"
"436","HARRY","HERMIONE","Don't be silly.  ","don't be silly.  ","don't be silly.  ","  silly.  ","  silly  ","  silly  "," silly ","silly"
"437","RON","HERMIONE","There she was walking by. You know I like it when they walk. I couldn't help it, it just sort of slipped out.","there she was walking by. you know i like it when they walk. i couldn't help it, it just sort of slipped out.","there she was walking by. you know i like it when they walk. i couldn't help it, it just sort of slipped out.","   walking .  know  like    walk.   help ,  just sort  slipped .","   walking   know  like    walk   help   just sort  slipped ","   walking   know  like    walk   help   just sort  slipped "," walking know like walk help just sort slipped ","walk know like walk help just sort slip"
"438","GIRL","HERMIONE","Actually he sort of screamed at her, it was a bit frightening. ","actually he sort of screamed at her, it was a bit frightening. ","actually he sort of screamed at her, it was a bit frightening. ","actually  sort  screamed  ,    bit frightening. ","actually  sort  screamed      bit frightening ","actually  sort  screamed      bit frightening ","actually sort screamed bit frightening ","actually sort scream bite frighten"
"439","HARRY","RON","What did you do then?  ","what did you do then?  ","what did you do then?  ","    ?  ","      ","      "," ",""
"440","RON","HARRY","What else? I ran for it. I'm not cut out for this Harry. I don't know what got into me.","what else? i ran for it. i'm not cut out for this harry. i don't know what got into me.","what else? i ran for it. i'm not cut out for this harry. i don't know what got into me."," else?  ran  .   cut    harry.   know  got  ."," else  ran     cut    harry   know  got  "," else  ran     cut    harry   know  got  "," else ran cut harry know got ","else run cut harry know get"
"441","PATILS","HARRY","Hi Harry.  ","hi harry.  ","hi harry.  ","h harry.  ","h harry  ","h harry  ","h harry ","h harry"
"442","HARRY","PATILS","Hey!  ","hey!  ","hey!  ","hey!  ","hey  ","hey  ","hey ","hey"
"443","RON","RON","Bloody hell.  ","bloody hell.  ","bloody hell.  ","bloody hell.  ","bloody hell  ","bloody hell  ","bloody hell ","bloody hell"
"444","RON","HARRY","What are those??  ","what are those??  ","what are those??  ","  ??  ","    ","    "," ",""
"445","HARRY","RON","My dress robes.  ","my dress robes.  ","my dress robes.  "," dress robes.  "," dress robes  "," dress robes  "," dress robes ","dress robe"
"446","RON","HARRY","Well they're alright. No lace, no dodgy little collar. ","well they're alright. no lace, no dodgy little collar. ","well they're alright. no lace, no dodgy little collar. ","well  alright.  lace,  dodgy little collar. ","well  alright  lace  dodgy little collar ","well  alright  lace  dodgy little collar ","well alright lace dodgy little collar ","good alright lace dodgy little collar"
"447","HARRY","RON","Well I expect yours are more traditional.  ","well i expect yours are more traditional.  ","well i expect yours are more traditional.  ","well  expect    traditional.  ","well  expect    traditional  ","well  expect    traditional  ","well expect traditional ","good expect traditional"
"448","RON","HARRY","Traditional?? They're ancient! I look like my great aunt Tessie. ","traditional?? they're ancient! i look like my great aunt tessie. ","traditional?? they're ancient! i look like my great aunt tessie. ","traditional??  ancient!  look like  great aunt tessie. ","traditional  ancient  look like  great aunt tessie ","traditional  ancient  look like  great aunt tessie ","traditional ancient look like great aunt tessie ","traditional ancient look like great aunt tessie"
"449","RON","HARRY","I smell like my great aunt Tessie. Murder me Harry. ","i smell like my great aunt tessie. murder me harry. ","i smell like my great aunt tessie. murder me harry. "," smell like  great aunt tessie. murder  harry. "," smell like  great aunt tessie murder  harry "," smell like  great aunt tessie murder  harry "," smell like great aunt tessie murder harry ","smell like great aunt tessie murder harry"
"450","HARRY","RON","Leave it alone.  ","leave it alone.  ","leave it alone.  ","leave  alone.  ","leave  alone  ","leave  alone  ","leave alone ","leave alone"
"451","RON","HARRY","Poor kid, bet she's alone in her room crying her eyes out. ","poor kid, bet she's alone in her room crying her eyes out. ","poor kid, bet she's alone in her room crying her eyes out. ","poor kid, bet  alone   room crying  eyes . ","poor kid bet  alone   room crying  eyes  ","poor kid bet  alone   room crying  eyes  ","poor kid bet alone room crying eyes ","poor kid bet alone room cry eye"
"452","HARRY","RON","Who?  ","who?  ","who?  ","?  ","  ","  "," ",""
"453","RON","HARRY","Hermione of course. Come on Harry, why'd you think she wouldn't tell us who she's coming with?","hermione of course. come on harry, why'd you think she wouldn't tell us who she's coming with?","hermione of course. come on harry, why'd you think she wouldn't tell us who she's coming with?","hermione  course. come  harry, 'd  think   tell us   coming ?","hermione  course come  harry d  think   tell us   coming ","hermione  course come  harry d  think   tell us   coming ","hermione course come harry d think tell us coming ","hermione course come harry have think tell us come"
"454","HARRY","RON","Because we'd take the mickey out of her if she did. ","because we'd take the mickey out of her if she did. ","because we'd take the mickey out of her if she did. ","  take  mickey      . ","  take  mickey       ","  take  mickey       "," take mickey ","take mickey"
"455","RON","HARRY","Because nobody asked her. I would have taken her myself if she weren't so bleeding proud.","because nobody asked her. i would have taken her myself if she weren't so bleeding proud.","because nobody asked her. i would have taken her myself if she weren't so bleeding proud."," nobody asked .    taken       bleeding proud."," nobody asked     taken       bleeding proud"," nobody asked     taken       bleeding proud"," nobody asked taken bleeding proud","nobody ask take bleed proud"
"456","PARVATI","HARRY","Hello boys. Don't you look...  ","hello boys. don't you look...  ","hello boys. don't you look...  ","hello boys.   look...  ","hello boys   look  ","hello boys   look  ","hello boys look ","hello boy look"
"457","PARVATI","RON","... dashing.  ","... dashing.  ","... dashing.  ","... dashing.  "," dashing  "," dashing  "," dashing ","dash"
"458","MCGONAGALL","HARRY","Here you are Potter. Are you and Miss Patil ready? ","here you are potter. are you and miss patil ready? ","here you are potter. are you and miss patil ready? ","   potter.    miss patil ready? ","   potter    miss patil ready ","   potter    miss patil ready "," potter miss patil ready ","potter miss patil ready"
"459","HARRY","MCGONAGALL","Ready professor?  ","ready professor?  ","ready professor?  ","ready professor?  ","ready professor  ","ready professor  ","ready professor ","ready professor"
"460","MCGONAGALL","HARRY","To dance. It's traditional that the three champions or in this case four are the first to dance. Surely I told you that.  ","to dance. it's traditional that the three champions or in this case four are the first to dance. surely i told you that.  ","to dance. it's traditional that the three champions or in this case four are the first to dance. surely i told you that.  "," dance.  traditional   three champions    case four   first  dance. surely  told  .  "," dance  traditional   three champions    case four   first  dance surely  told    "," dance  traditional   three champions    case four   first  dance surely  told    "," dance traditional three champions case four first dance surely told ","dance traditional three champion case four first dance surely tell"
"461","HARRY","MCGONAGALL","No.  ","no.  ","no.  ",".  ","  ","  "," ",""
"462","MCGONAGALL","HARRY","Oh well now you know. Oh, as for your Mr Weasly you may proceed into the great hall with Miss Patil. Hermione enters the room all dressed up.  ","oh well now you know. oh, as for your mr weasly you may proceed into the great hall with miss patil. hermione enters the room all dressed up.  ","oh well now you know. oh, as for your mr weasly you may proceed into the great hall with miss patil. hermione enters the room all dressed up.  ","oh well now  know. oh,    mr weasly  may proceed   great hall  miss patil. hermione enters  room  dressed .  ","oh well now  know oh    mr weasly  may proceed   great hall  miss patil hermione enters  room  dressed   ","oh well now  know oh    mr weasly  may proceed   great hall  miss patil hermione enters  room  dressed   ","oh well now know oh mr weasly may proceed great hall miss patil hermione enters room dressed ","oh good now know oh mr weasly may proceed great hall miss patil hermione enter room dress"
"463","PARVATI","HARRY","She looks beautiful.  ","she looks beautiful.  ","she looks beautiful.  "," looks beautiful.  "," looks beautiful  "," looks beautiful  "," looks beautiful ","look beautiful"
"464","HARRY","PARVATI","Yeah she does.  ","yeah she does.  ","yeah she does.  ","yeah  .  ","yeah    ","yeah    ","yeah ","yes"
"465","PADMA","RON","(To Ron) Is that Hermione Granger? With Viktor Krum?? ","(to ron) is that hermione granger? with viktor krum?? ","(to ron) is that hermione granger? with viktor krum?? ","( ron)   hermione granger?  viktor krum?? "," ron   hermione granger  viktor krum "," ron   hermione granger  viktor krum "," ron hermione granger viktor krum ","ron hermione granger viktor krum"
"466","RON","PADMA","No. Absolutely not.  ","no. absolutely not.  ","no. absolutely not.  ",". absolutely .  "," absolutely   "," absolutely   "," absolutely ","absolutely"
"467","PARVATI","HARRY","Harry. Take my waist.  ","harry. take my waist.  ","harry. take my waist.  ","harry. take  waist.  ","harry take  waist  ","harry take  waist  ","harry take waist ","harry take waist"
"468","HARRY","PARVATI","What?  ","what?  ","what?  ","?  ","  ","  "," ",""
"469","PARVATI","HARRY","Now.  ","now.  ","now.  ","now.  ","now  ","now  ","now ","now"
"470","HERMIONE","RON","Hot isn't it? Viktor's gone to get drinks. Care to join us? ","hot isn't it? viktor's gone to get drinks. care to join us? ","hot isn't it? viktor's gone to get drinks. care to join us? ","hot  ? viktor's gone  get drinks. care  join us? ","hot   viktors gone  get drinks care  join us ","hot   viktors gone  get drinks care  join us ","hot viktors gone get drinks care join us ","hot viktors go get drink care join us"
"471","RON","HERMIONE","No, we'd NOT care to join you and Viktor.  ","no, we'd not care to join you and viktor.  ","no, we'd not care to join you and viktor.  ",",   care  join   viktor.  ","   care  join   viktor  ","   care  join   viktor  "," care join viktor ","care join viktor"
"472","HERMIONE","RON","What's got your wand in a knot?  ","what's got your wand in a knot?  ","what's got your wand in a knot?  "," got  wand   knot?  "," got  wand   knot  "," got  wand   knot  "," got wand knot ","get wand knot"
"473","RON","HERMIONE","He's a Durmstrang. You're fraternising with the enemy. ","he's a durmstrang. you're fraternising with the enemy. ","he's a durmstrang. you're fraternising with the enemy. ","  durmstrang.  fraternising   enemy. ","  durmstrang  fraternising   enemy ","  durmstrang  fraternising   enemy "," durmstrang fraternising enemy ","durmstrang fraternise enemy"
"474","HERMIONE","RON","The enemy?? Who was it wanting his autograph? Besides, the whole point of the tournament is international magical cooperation, to make friends.  ","the enemy?? who was it wanting his autograph? besides, the whole point of the tournament is international magical cooperation, to make friends.  ","the enemy?? who was it wanting his autograph? besides, the whole point of the tournament is international magical cooperation, to make friends.  "," enemy??    wanting  autograph? besides,  whole point   tournament  international magical cooperation,  make friends.  "," enemy    wanting  autograph besides  whole point   tournament  international magical cooperation  make friends  "," enemy    wanting  autograph besides  whole point   tournament  international magical cooperation  make friends  "," enemy wanting autograph besides whole point tournament international magical cooperation make friends ","enemy want autograph besides whole point tournament international magical cooperation make friend"
"475","RON","HERMIONE","Hrmph, I think he's got a bit more than friendship on his mind. ","hrmph, i think he's got a bit more than friendship on his mind. ","hrmph, i think he's got a bit more than friendship on his mind. ","hrmph,  think  got  bit   friendship   mind. ","hrmph  think  got  bit   friendship   mind ","hrmph  think  got  bit   friendship   mind ","hrmph think got bit friendship mind ","hrmph think get bite friendship mind"
"476","PADMA","RON","Are you going to ask me to dance or not? ","are you going to ask me to dance or not? ","are you going to ask me to dance or not? ","  going  ask   dance  ? ","  going  ask   dance   ","  going  ask   dance   "," going ask dance ","go ask dance"
"477","RON","PADMA","No.  ","no.  ","no.  ",".  ","  ","  "," ",""
"478","RON","HERMIONE","(To Hermione) He's using you.  ","(to hermione) he's using you.  ","(to hermione) he's using you.  ","( hermione)  using .  "," hermione  using   "," hermione  using   "," hermione using ","hermione use"
"479","HERMIONE","RON","How dare you! Besides I can take care of myself. ","how dare you! besides i can take care of myself. ","how dare you! besides i can take care of myself. "," dare ! besides  can take care  . "," dare  besides  can take care   "," dare  besides  can take care   "," dare besides can take care ","dare besides can take care"
"480","RON","HERMIONE","Doubt it. He's way too old.  ","doubt it. he's way too old.  ","doubt it. he's way too old.  ","doubt .  way  old.  ","doubt   way  old  ","doubt   way  old  ","doubt way old ","doubt way old"
"481","HERMIONE","RON","What? What? That's what you think?  ","what? what? that's what you think?  ","what? what? that's what you think?  ","? ?    think?  ","     think  ","     think  "," think ","think"
"482","RON","HERMIONE","Yeah that is what I think.  ","yeah that is what i think.  ","yeah that is what i think.  ","yeah     think.  ","yeah     think  ","yeah     think  ","yeah think ","yes think"
"483","HERMIONE","RON","You know the solution then don't you.  ","you know the solution then don't you.  ","you know the solution then don't you.  "," know  solution   .  "," know  solution     "," know  solution     "," know solution ","know solution"
"484","RON","HERMIONE","Go on.  ","go on.  ","go on.  ","go .  ","go   ","go   ","go ","go"
"485","HERMIONE","RON","Next time there's a ball pluck up the courage and ask me before somebody else does, and not as a last resort.","next time there's a ball pluck up the courage and ask me before somebody else does, and not as a last resort.","next time there's a ball pluck up the courage and ask me before somebody else does, and not as a last resort.","next time   ball pluck   courage  ask   somebody else ,     last resort.","next time   ball pluck   courage  ask   somebody else      last resort","next time   ball pluck   courage  ask   somebody else      last resort","next time ball pluck courage ask somebody else last resort","next time ball pluck courage ask somebody else last resort"
"486","RON","HERMIONE","Well that's completely off the point.  ","well that's completely off the point.  ","well that's completely off the point.  ","well  completely   point.  ","well  completely   point  ","well  completely   point  ","well completely point ","good completely point"
"487","RON","HARRY","Harry...  ","harry...  ","harry...  ","harry...  ","harry  ","harry  ","harry ","harry"
"488","HERMIONE","HARRY","Where have you been? Nevermind! Off to bed both of you. ","where have you been? nevermind! off to bed both of you. ","where have you been? nevermind! off to bed both of you. ","   ? nevermind!   bed   . ","    nevermind   bed    ","    nevermind   bed    "," nevermind bed ","nevermind bed"
"489","RON","HERMIONE","They get scary when they get older.  ","they get scary when they get older.  ","they get scary when they get older.  "," get scary   get older.  "," get scary   get older  "," get scary   get older  "," get scary get older ","get scary get old"
"490","HERMIONE","RON","Ron you spoil everything!  ","ron you spoil everything!  ","ron you spoil everything!  ","ron  spoil everything!  ","ron  spoil everything  ","ron  spoil everything  ","ron spoil everything ","ron spoil everything"
"491","VOLDERMORT","HARRY","Let me see it again.  ","let me see it again.  ","let me see it again.  ","let  see  .  ","let  see    ","let  see    ","let see ","let see"
"492","VOLDEMORT","HARRY","Ah yes, the time is close now. Harry! At last! Step aside Wormtail so I can give our guest a proper greeting!","ah yes, the time is close now. harry! at last! step aside wormtail so i can give our guest a proper greeting!","ah yes, the time is close now. harry! at last! step aside wormtail so i can give our guest a proper greeting!","ah yes,  time  close now. harry!  last! step aside wormtail   can give  guest  proper greeting!","ah yes  time  close now harry  last step aside wormtail   can give  guest  proper greeting","ah yes  time  close now harry  last step aside wormtail   can give  guest  proper greeting","ah yes time close now harry last step aside wormtail can give guest proper greeting","ah yes time close now harry last step aside wormtail can give guest proper greet"
"493","NEVILLE","HARRY","You alright Harry? I just got in. Me!  ","you alright harry? i just got in. me!  ","you alright harry? i just got in. me!  "," alright harry?  just got . !  "," alright harry  just got    "," alright harry  just got    "," alright harry just got ","alright harry just get"
"494","HERMIONE","HARRY","Harry you told me you'd figured the egg out weeks ago. The task is two days from now.","harry you told me you'd figured the egg out weeks ago. the task is two days from now.","harry you told me you'd figured the egg out weeks ago. the task is two days from now.","harry  told   figured  egg  weeks ago.  task  two days  now.","harry  told   figured  egg  weeks ago  task  two days  now","harry  told   figured  egg  weeks ago  task  two days  now","harry told figured egg weeks ago task two days now","harry tell figure egg week ago task two day now"
"495","HARRY","HERMIONE","Really? I had no idea. I suppose Viktor's already figured it out. ","really? i had no idea. i suppose viktor's already figured it out. ","really? i had no idea. i suppose viktor's already figured it out. ","really?    idea.  suppose viktor's already figured  . ","really    idea  suppose viktors already figured   ","really    idea  suppose viktors already figured   ","really idea suppose viktors already figured ","really idea suppose viktors already figure"
"496","HERMIONE","HARRY","I wouldn't know, we didn't actually talk about the tournament. Actually we didn't really talk at all, Viktor's more of a physical being. I just mean he's not particularly... Mostly he watches me study. It's a bit annoying actually. You are trying to figure this egg out aren't you?  ","i wouldn't know, we didn't actually talk about the tournament. actually we didn't really talk at all, viktor's more of a physical being. i just mean he's not particularly... mostly he watches me study. it's a bit annoying actually. you are trying to figure this egg out aren't you?  ","i wouldn't know, we didn't actually talk about the tournament. actually we didn't really talk at all, viktor's more of a physical being. i just mean he's not particularly... mostly he watches me study. it's a bit annoying actually. you are trying to figure this egg out aren't you?  ","  know,   actually talk   tournament. actually   really talk  , viktor's    physical .  just mean   particularly... mostly  watches  study.   bit annoying actually.   trying  figure  egg   ?  ","  know   actually talk   tournament actually   really talk   viktors    physical   just mean   particularly mostly  watches  study   bit annoying actually   trying  figure  egg     ","  know   actually talk   tournament actually   really talk   viktors    physical   just mean   particularly mostly  watches  study   bit annoying actually   trying  figure  egg     "," know actually talk tournament actually really talk viktors physical just mean particularly mostly watches study bit annoying actually trying figure egg ","know actually talk tournament actually really talk viktors physical just mean particularly mostly watch study bite annoy actually try figure egg"
"497","HARRY","HERMIONE","What's that supposed to mean?  ","what's that supposed to mean?  ","what's that supposed to mean?  ","  supposed  mean?  ","  supposed  mean  ","  supposed  mean  "," supposed mean ","suppose mean"
"498","HERMIONE","HARRY","I mean these tasks are supposed to test you, in the most brutal way they're almost cruel. And um, I'm scared for you. You got by the dragon mostly on nerve, I'm not sure it's going to be enough this time.  ","i mean these tasks are supposed to test you, in the most brutal way they're almost cruel. and um, i'm scared for you. you got by the dragon mostly on nerve, i'm not sure it's going to be enough this time.  ","i mean these tasks are supposed to test you, in the most brutal way they're almost cruel. and um, i'm scared for you. you got by the dragon mostly on nerve, i'm not sure it's going to be enough this time.  "," mean  tasks  supposed  test ,    brutal way  almost cruel.  um,  scared  .  got   dragon mostly  nerve,   sure  going   enough  time.  "," mean  tasks  supposed  test     brutal way  almost cruel  um  scared    got   dragon mostly  nerve   sure  going   enough  time  "," mean  tasks  supposed  test     brutal way  almost cruel  um  scared    got   dragon mostly  nerve   sure  going   enough  time  "," mean tasks supposed test brutal way almost cruel um scared got dragon mostly nerve sure going enough time ","mean task suppose test brutal way almost cruel um scare get dragon mostly nerve sure go enough time"
"499","CEDRIC","HARRY","Hey Potter.  ","hey potter.  ","hey potter.  ","hey potter.  ","hey potter  ","hey potter  ","hey potter ","hey potter"
"500","HARRY","CEDRIC","Cedric.  ","cedric.  ","cedric.  ","cedric.  ","cedric  ","cedric  ","cedric ","cedric"
"501","CEDRIC","HARRY","How are you?  ","how are you?  ","how are you?  ","  ?  ","    ","    "," ",""
"502","HARRY","CEDRIC","Spectacular.  ","spectacular.  ","spectacular.  ","spectacular.  ","spectacular  ","spectacular  ","spectacular ","spectacular"
"503","CEDRIC","HARRY","Look I realise I never really thanked you properly for tipping me off about those dragons.","look i realise i never really thanked you properly for tipping me off about those dragons.","look i realise i never really thanked you properly for tipping me off about those dragons.","look  realise  never really thanked  properly  tipping     dragons.","look  realise  never really thanked  properly  tipping     dragons","look  realise  never really thanked  properly  tipping     dragons","look realise never really thanked properly tipping dragons","look realise never really thank properly tip dragon"
"504","HARRY","CEDRIC","Forget about it. I'm sure you would have done the same for me. ","forget about it. i'm sure you would have done the same for me. ","forget about it. i'm sure you would have done the same for me. ","forget  .  sure    done    . ","forget    sure    done     ","forget    sure    done     ","forget sure done ","forget sure do"
"505","CEDRIC","HARRY","Exactly. You know the prefects bathroom on the fifth floor? ","exactly. you know the prefects bathroom on the fifth floor? ","exactly. you know the prefects bathroom on the fifth floor? ","exactly.  know  prefects bathroom   fifth floor? ","exactly  know  prefects bathroom   fifth floor ","exactly  know  prefects bathroom   fifth floor ","exactly know prefects bathroom fifth floor ","exactly know prefect bathroom 5 floor"
